event,step,tokens,tokens_b,loss,perplexity,lr,tokens_per_sec_window,source
train,2040,1077903360,1.077903,3.5042046159505844,,0.00039701913086771714,38125.29351589397,
train,2050,1083187200,1.083187,3.491775058209896,,0.00039696169345072104,38126.24113837742,
train,2060,1088471040,1.088471,3.505037873983383,,0.00039690371263925684,38121.34992370813,
train,2070,1093754880,1.093755,3.446792561560869,,0.0003968451886113656,38115.9541368614,
train,2080,1099038720,1.099039,3.453148238360882,,0.0003967861215467565,38114.937934540874,
train,2090,1104322560,1.104323,3.4310388937592506,,0.0003967265116268062,38118.89154286266,
train,2100,1109606400,1.109606,3.452349178493023,,0.00039666635903455816,38121.612415398675,
train,2110,1114890240,1.114890,3.4668357744812965,,0.0003966056639547225,38122.5376897313,
train,2120,1120174080,1.120174,3.460412584245205,,0.00039654442657367474,38121.84192645892,
train,2130,1125457920,1.125458,3.4148495122790337,,0.0003964826470794562,38122.05904646564,
train,2140,1130741760,1.130742,3.4699101001024246,,0.00039642032566177226,38123.53665609264,
train,2150,1136025600,1.136026,3.4685947746038437,,0.00039635746251199286,38125.83664840588,
train,2160,1141309440,1.141309,3.413255885243416,,0.0003962940578231511,38122.22751126147,
train,2170,1146593280,1.146593,3.430537201464176,,0.0003962301117899432,38120.35598968139,
train,2180,1151877120,1.151877,3.4259021133184433,,0.0003961656246087275,38118.803620623505,
train,2190,1157160960,1.157161,3.4682343006134033,,0.0003961005964775242,38117.074631233256,
train,2200,1162444800,1.162445,3.4021270498633385,,0.00039603502759601454,38121.65877641011,
train,2210,1167728640,1.167729,3.4313296377658844,,0.00039596891816554014,38117.020676595326,
train,2220,1173012480,1.173012,3.3985340744256973,,0.00039590226838910267,38116.19649423673,
train,2230,1178296320,1.178296,3.4304685294628143,,0.00039583507847136274,38119.00759297155,
train,2240,1183580160,1.183580,3.4452511817216873,,0.0003957673486186399,38115.3728063881,
train,2250,1188864000,1.188864,3.4089659079909325,,0.00039569907903891144,38117.75704274705,
train,2260,1194147840,1.194148,3.3936303183436394,,0.00039563026994181207,38122.58300375273,
